2024,1079154539,192375760
2023,1132268801,202900724
2022,1167715133,198988100
2021,1197982359,199533484
2020,1295973827,189000000
2019,1518207412,182185876
2018,1805260010,171648771
2017,1800047111,172353235
2016,906616188,170258872
2015,876812666,177127427
2014,861379152,180067270
2013,629939191,186821503
2012,582716657,182441983
2011,273301445,101838083
2010,206741990,83456669
2009,185497213,71647887
2008,155583825,68274154
